id,English,,Portuguese,,Danish,,German,,Spanish,,French,,Italian,,Dutch,
111,anosmia,lack of sense of smell,anosmia,falta de cheiro,anosmi,manglende lugtesans,Anosmie,Geruchsminderung,anosmia,pérdida o disminución del sentido del olfato,anosmie,perte de l'odorat,anosmia,assenza dell'olfatto,anosmie,onvermogen om te ruiken
112,anovulatory,without producing an egg,anovulatório,ciclo sem óvulo,anovulatorisk,mangel på løsning af æg fra æggestokken,anovulatorisch,ohne Eisprung,anovular,que no va acompañado por el desprendimiento de un óvulo,anovulatoire,qui n'est pas accompagné d'ovulation,anovulare,che non presenta il rilascio di un uovo,anovulair; anovulatoor,zonder eisprong
113,anoxia,total lack of oxygen,anoxia,falta de oxigénio no organismo por respiração deficiente,anoxia,mangelfuld ilttilførsel til væv,Anoxie,unzureichende Sauerstoffkonzentration im Gewebe,anoxia,insuficiencia de oxígeno en los tejidos,anoxie,suppression de l'apport d'oxygène au niveau des cellules et des tissus,anossia,mancanza di ossigenoanossia,anoxie,zuurstofgebrek
114,antacid,indegestion remedy,antiácido,fármaco com o excesso de acidez do estômago,antacida,syreneutraliserende middel,Antazidum,Magensäure bindendes Mittel,antiácido,sustancia que fija los ácidos gástricos,antiacide,contre l'acidité,antiacido,sostanza che annulla l'acidità,antacidum,zuurbinder
115,antagonist,substance tending to nullify effects of another,antagonista,músculo que produz movimento contrário ao de outro músculo;substância que anula a acção de outra,antagonist,stof;som ophæver andet stofs virkning,Antagonist,Hemmstoff,antagonista,músculo que produce movimiento contrario al de otro músculo;sustancia que anula la acción de otra,antagoniste,dont l'action s'oppose à celle d'un autre,antagonista,sostanza che annulla l'azione di un'altra sostanza,antagonist,tegenwerker
116,antecedent,forerunner,antecedente,passado do paciente,anterior,forudgående,,,antecedente,circunstancia anterior en la historia del enfermo,antécédent,tout fait qui  précède son état actuel,antecedente,che esisteva prima,antecedent,voorafgaande gebeurtenis
117,anterograde,moving forward,anterógrado,dirigido para a frente,anterograd,fremadrettet,anterograd,nach vorn gerichtet,anterógrado,dirigido hacia adelante,antérograde,se rapportant à des faits survenus à partir d'un moment donné,anterogrado,che va avanti,anterograad,zich naar voren uitstrekkend
118,anthelmintic,anti-worm drug,anti-helmíntico,contra as lombrigas;contra as bichas,anthelmintika,ormemiddel,Anthelminthikum,Wurmmittel,antihelmíntico,sustancia que destruye los gusanos intestinales,anthelminthique,vermifuge,antielmintico,farmaco che uccide i vermi intestinali,anthelminthicum,wormdrijvend middel
119,anthrax,anthrax,antraz,pústula maligna;baceira;mal-do-baço;mal-do-sangue,anthrax,brandbyld,Anthrax,Milzbrand,ántrax,inflamación purulenta de la piel;furúnculo,anthrax,anthrax,antrace,foruncoli neri dolorosiantrace,anthrax,miltvuur
120,antiacid,indigestion remedy,antiácido,fármaco com o excesso de acidez do estômago,antisyre,syreneutraliserende stof,Antazidum,säurebindendes Mittel,antiácido,,,,antiacido,che combatte l'acido,anti-acidum,middel dat zuur tegengaat
121,antiallergic,bacteria-destroying substance,antialérgico,antialérgico,antiallergisk,allergihæmmende,antiallergisch,gegen Allergie,antialérgico,antialérgico,antiallergique,antiallergique,antiallergico,anti-allergia,anti-allergisch,wat overgevoeligheid tegengaat
122,antianginal,angina drug,antianginoso,combate as anginas,antianginal,mod halsbetændelse,antiangiös,einem Engezustand-gefüht entgegenwirkend,,,antiangineux,contre l'angine,antiangina,anti-mal di gola,anti-angineus,wat beklemming tegengaat
123,antiarrhythmic,irregular heartbeat drug,antiarrítmico,medicamento para tratamento da irregularidade da pulsação cardíaca,antiarrhythmika,lægemiddel;som normaliserer hjerterytmen,Antiarrhythmikum,Mittel;das die Erregbarkeit des Herzens herabstzt,antiarrítmico,medicamento para el tratamiento de la irregularidad del pulso cardíaco,antiarythmique,qui combat l'irrégularité du rythme cardiaque,antiaritmico,che combatte irregolarità nel battito cardiaco,anti-arrhythmicum,hartritmeregelaar
124,antiasthmatic,asthma drug,antiasmático,remédio contra a asma,antiastmatika,lægemiddel;som letter astmaanfald,Antiasthmatikum,Mittel gegen Asthma,antiasmático,medicamento para el tratamiento del asma,antiasthmatique,qui combat l'asthme,antiasmatico,che combatte l'asma,anti-asthmaticum,middel tegen aamborstigheid
125,antibacterial,bacteria-destroying substance,antibacteriano,que destrói as bactérias,antibakteriel,bakteriedræbende middel,antibakteriell,gegen Bakterien gerichtet,antibacteriano,que destruye las bacterias,antibactérien,anti-infectieux,antibatterico,che combatte i batteri,antibacterieel,tegen bacteriën gericht
126,antibiogramme,part of cancer treatment,antibiograma,estudo da sensibilidade de um micróbio a vários antibióticos,antibiogram,måling af sygdomsfremkaldende stofs modstandsevne over før behandling,Antibiogramm,Testung der individuellen Erregerempfindlichkeit,antibiograma,estudio de la sensibilidad de un microbio frente a diversos antibióticos,antibiogramme,analyse permettant de déterminer l'action des antibiotiques sur des bactéries,antibiogramma,esame che la resistenza di sostanze causa di malattie,antibiogram,beeld van de gevoeligheid voor bacteriëndodende middelen
127,antibiotherapy,treatment with antibiotics,antibioterapia,tratamento com antibióticos,antibioterapi,behandling med antibiotika,Antibiose,Antiobiotikatherapie,antibioterapia,tratamiento con antibióticos,antibiothérapie,traitement par les antibiotiques,antibioterapia,terapia con impiego di antibiotici,antibiotherapie,behandeling van ziekten met bacteriëndodende middelen
128,antibiotic,antibiotic,antibiótico,fármaco para tratar infecções,antibiotika,antibiotika;stof;dannet af mikroorganismer;som dræberhæmmer andre mikroorganismer,Antibiotikum,Antibiotikum,antibiótico,antibiótico,antibiotique,antibiotique,antibiotico,antibiotico,antibioticum,middel dat bacteriën doodt
129,antibody,antibody,anticorpo,anti-soma;anti-substância;corpo imune;antítropo,antistof,antistof,Antikörper,Antikörper,anticuerpo,anticuerpo,anticorps,anticorps,anticorpo,elemento che difende l'organismo,antilichaam; antistof,beschermingsstof
130,anticholinergic,anticholinergic,anticolinérgico,substância que bloqueia os nervos parassimpáticos,anticholinergika,stof;som hæmmer irritation af f.eks. fordøjelse;søvn,Anticholinergikum,Muskelrelaxans,anticolinérgico,sustancia que bloquea los nervios parasimpáticos,anticholinergique,groupe de médicaments utilisés pour bloquer...,anticolinergico,sostanza che agisce sui nervi,anticholinergicum,stof die de werking van een weefselhormoon onderdrukt
131,anticoagulant,substance that prevents blood clotting,anticoagulante,fármaco que impede a coagulação do sangue,antikoagulantia,stof;som virker antikoagulerende,Antikoagulans,gerinnungshemmende Substanz,anticoagulante,sustancia que impide la coagulación,anticoagulant,qui retarde la coagulation du sang,anticoagulante,che impedisce al sangue di coagularsi,anticoagulans,stof die de bloedstolling vertraagt of belet
132,anticonvulsant,substance to stop convulsions,anticonvulsivante,substância que evita as convulsões,anticonvulsiva,krampestillende middel,Antikonvulsivum,krampflösendes;bzw.-verhinderndes Mittel,anticonvulsivo,sustancia que evita o reduce convulsiones,anticonvulsivant,contre les convulsions,agente anticonvulsante,agente che impedisce le convulsioni,anticonvulsivum,middel tegen stuipen
133,antidepressant,tranquilizer,antidepressivo,substância que alivia a depressão,antidepressiva,lægemiddel;som modvirker depressive tilstande,Antidepressivum,Mittel gegen Depressionen,antidepresivo,sustancia que alivia la depresión,antidépresseur,antidépressif,farmaco antidepressivo,farmaco antidepressivo,antidepressivum,middel tegen ziekelijke neerslachtigheid
134,antidiabetic,diabetes drug,antidiabético,substância que reduz a concentração de açúcar no sangue,antidiabetika,lægemiddel til behandling af diabetes,Antidiabetikum,blutzuckersenkendes Mittel,antidiabético,sustancia que reduce la concentración de azúcar en la sangre,antidiabétique,antidiabétique,antidiabetico,antidiabetico,antidiabeticum,geneesmiddel dat suikerziekte tegengaat
135,antidiuretic,substance to slow urine formation,antidiurético,que não faz urinar,antidiuretisk,som hæmmer udskillelse af urin,antidiuretisch,die Wasserausscheidung hemmend,antidiurético,sustancia que disminuye la cantidad de orina,antidiurétique,qui diminue la sécrétion urinaire,antidiuretico,antidiuretico,antidiuretisch,wat de vorming van urine tegengaat
136,antidopaminergic,antidopaminergic,antidopaminérgico,,antidopaminerg,TU,antidopaminerg,dem Dopamin entgegenwirkend,,,antidopaminergique,contre les effets de la dopamine,antidopaminergico,che combatte la dopamina,antidopaminergisch,wat de werking van een weefselhormoon tegengaat
137,antidote,antidote,antídoto,contraveneno,antidotum,modgift,Antidot,Gegengift,antídoto,contraveneno,antidote,contrepoison,antidoto,antidoto,antidotum,tegengif
138,antiemetic,substance to stop vomiting,antiemético,contra os vómitos,antiemetika,lægemiddel;som modvirker brækning,Antiemetikum,Mittel gegen Erbrechen,antiemético,medicamento contra los vómitos,antiémétique,antivomitif,antiemetico,che combatte le nausee ed i vomiti.,antemeticum,middel tegen braken
139,antiepileptic,epilepsy drug,antiepiléptico,medicamento contra a epilepsia,antiepileptika,lægemiddel med virkning over for epileptiske symptomer,Antiepileptikum,Mittel zur Epilepsiebehandlung,antiepiléptico,medicamento contra la epilepsia,antiépileptique,anticonvulsivant,antiepilettico,antiepilettico,antepilepticum,geneesmiddel tegen vallende ziekte
140,antiexudative,anti-inflammatory,antiexudativo,que impede a exsudação;a transpiração,antiexsudativ,som hæmmer væskeudskillelse,antiexsudativ,einer Ausschwitzung von Flüssigkeit entgegenwirkend,,que impide la exudación,antiexsudatif,qui combat le suintement d'un liquide organique,antiessudativo,che combatte l'essudazione,anti-exsudatief,middel tegen ontstekingsvocht
141,antifibrinolytic,drug to stop breakdown of blood clots,antifibrinolítico,,antifibrinolytisk,som hæmmer opløsning af fibrin,Antifibrinolytikum,Hemmstoffe einer gesteigerten Fibrinolyse,antifibrinolítico,,antifibrinolytique,qui empêche la dégradation et la dissolution de la fibrine,antifibrinolitico,che impedisce la dissoluzione del sangue coagulato,antifibrinolyticum,middel tegen oplossing van vezelstof
142,antifungal,fungus-killer,antifúngico,medicamento com os cogumelos ou leveduras parasitas no homem,antifungal,svampedræbende,antifungiell,gegen Pilze gerichtet,antifúngico,que destruye los hongos,antifongique,1) qui détruit les champignons - 2) qui empêche le développelent des -,antimicotico,anti-funghi,antifungisch,wat schimmels doodt
143,antigen,foreign substance,antígeno,substância considerada estranha pelo organismo,antigen,stof;som forårsager dannelse af et antistof,Antigen,Antikörperbildner,antígeno,sustancia considerada como extraña por el organismo,antigène,antigène,antigene,sostanza che provoca la formazione di anticorpi,antigeen,lichaamsvreemde stof
144,antihistamine,antihistamine,anti-histamina,substância que combate a acção da histamina,antihistamin,stof;som hæmmer histamins  virkning,Antihistaminikum,Antihistaminikum,antihistamínico,sustancia que combate la acción de la histamina,antihistaminique,antiallergique;antihistaminique,antiistamina,che combatte l'azione dell'istamina,antihistaminicum,stof die de werking van his-tamine vermindert
145,antihypertensive,high blood pressure drug,anti-hipertensivo,substância que diminui a pressão sanguínea,antihypertensiva,blodtryksnedsættende middel,Antihypertonikum,Heilmittel gegen erhöhten Blutdruck,antihipertensivo,sustancia que disminuye la presión sanguínea,antihypertensif,qui réduit l'augmentation de la tension,antiipertensivo,anti-tensione eccessiva,antihypertensivum,bloeddrukverlagend middel
146,antiinfective,disinfection,anti-infeccioso,que combate a infecção,antiinfektiøs,som modvirker infektion,Antiinfektivum,infektionsabwehrend,antiinfeccioso,que combate la infección,anti-infectieux,qui combat l'infection,antiinfettivo,antiinfettivo,anti-infectieus,tegen de infectieverwekker gericht
147,antiinflammatory,substance to reduce swelling,anti-inflamatório,que impede a inflamação,antiinflammatorisk,som modvirker betændelse,antiinflammatorisch,entzündungshemmend,antiinflamatorio,que impide o detiene la inflamación,anti-inflammatoire,qui combat l'inflammation,antiinfiammatorio,antiinfiammatorio,anti-inflammatoir,wat ontsteking tegengaat
148,antimicrobial,substance to kill microorganisms,antimicrobiano,que impede o desenvolvimento de micróbios,antimikrobial,som hæmmer eller dræber mikroorganismer,antimikrobiell,mikrobenhemmend,antimicrobiano,que impide el desarrollo de los microbios,antimicrobien,qui détruit les micro-organismes,antimicrobico,antimicrobico,antimicrobieel,tegen ziekteverwekkers gericht
149,antimitotic,anti-cancer drug,antimitótico,que trava a divisão e crescimento das células,antimitosisk,som forhindrer celledeling,Antimitotikum,Mitosehemmer,antimitótico,sustancia que impide la división y crecimiento de células,antimitotique,qui empêche la division des cellules,antimitotico,sostanza che frena la riproduzione cellulare,antimitoticum,middel dat de celdeling verhindert of vertraagt
150,antimycotic,fungus treatment,antimicótico,que impede a reprodução dos fungos,antimycotika,svampemiddel,Antimykotikum,Pilzwachstum beeinflussende Mittel,antimicótico,sustancia que destruye los hongos,antimycosique,1) qui détruit les champignons microscopiques - 2) qui empêche le développement des-,antimicotico,anti-funghi,antimycoticum,middel tegen schimmelziekte
151,antineoplastic,anti-cancer drug,antineoplástico,anticanceroso,antineoplastisk,tumorhæmmende,antineoplastisch,das Geschwulstwachstum hemmend,antineoplásico,que impide el crecimiento de tumores,antinéoplasique,anticancéreux,antineoplastico,sostanza che controlla le cellule maligne,antineoplastisch,wat de vorming van gezwellen tegengaat
152,antioestrogenic,oestrogen suppressant,antiestrogénico,que impede ou contraria o efeito das hormonas estrogénicas,antiøstrogen,som hæmmer østrogenernes aktivitet,antiestrogen,Östrogen hemmend,antiestrogénico,que impide o contrarresta el efecto de las hormonas estrogénicas,antioestrogénique,,antiestrogenico,che elimina l'azione degli estrogeni,anti-oestrogeen,wat de werking van de vrouwelijke geslachtshormonen tegengaat
153,antioxidant,substance to stop decay,antioxidante,evita a deterioração de um produto por oxidação,antioxidant,stof;som hæmmer forrådnelsesproces,Antioxydans,Oxydation verhindernde Stoffe,antioxidante,sustancia que previene el deterioro de un producto por oxidación,antioxydant,qui ralentit  empêche un processus d'oxydation,antiossidante,anti-invecchiamento,anti-oxydans,stof die bederf onder invloed van de lucht tegengaat
